attendance_id,employee_id,employee_name,date,status
96,EMP001,Ali Ahmed,2023-05-15,Present
97,EMP001,Ali Ahmed,2023-05-16,Leave
98,EMP001,Ali Ahmed,2023-05-17,Present
99,EMP001,Ali Ahmed,2023-05-18,Leave
100,EMP001,Ali Ahmed,2023-05-19,Late
101,EMP001,Ali Ahmed,2023-05-22,Present
102,EMP001,Ali Ahmed,2023-05-23,Present
103,EMP001,Ali Ahmed,2023-05-24,Present
104,EMP001,Ali Ahmed,2023-05-25,Present
105,EMP001,Ali Ahmed,2023-05-26,Present
106,EMP001,Ali Ahmed,2023-05-29,Present
107,EMP001,Ali Ahmed,2023-05-30,Present
108,EMP001,Ali Ahmed,2023-05-31,Present
109,EMP001,Ali Ahmed,2023-06-01,Present
110,EMP001,Ali Ahmed,2023-06-02,Absent
111,EMP001,Ali Ahmed,2023-06-05,Late
112,EMP001,Ali Ahmed,2023-06-06,Present
113,EMP001,Ali Ahmed,2023-06-07,Present
114,EMP001,Ali Ahmed,2023-06-08,Present
115,EMP001,Ali Ahmed,2023-06-09,Late
116,EMP001,Ali Ahmed,2023-06-12,Late
117,EMP001,Ali Ahmed,2023-06-13,Present
118,EMP001,Ali Ahmed,2023-06-14,Present
119,EMP001,Ali Ahmed,2023-06-15,Present
120,EMP001,Ali Ahmed,2023-06-16,Present
121,EMP001,Ali Ahmed,2023-06-19,Present
122,EMP001,Ali Ahmed,2023-06-20,Present
123,EMP001,Ali Ahmed,2023-06-21,Present
124,EMP001,Ali Ahmed,2023-06-22,Present
125,EMP001,Ali Ahmed,2023-06-23,Present
126,EMP001,Ali Ahmed,2023-06-26,Present
127,EMP001,Ali Ahmed,2023-06-27,Present
128,EMP001,Ali Ahmed,2023-06-28,Absent
129,EMP001,Ali Ahmed,2023-06-29,Late
130,EMP001,Ali Ahmed,2023-06-30,Present
131,EMP001,Ali Ahmed,2023-07-03,Present
132,EMP001,Ali Ahmed,2023-07-04,Present
133,EMP001,Ali Ahmed,2023-07-05,Late
134,EMP001,Ali Ahmed,2023-07-06,Absent
135,EMP001,Ali Ahmed,2023-07-07,Present
136,EMP001,Ali Ahmed,2023-07-10,Present
137,EMP001,Ali Ahmed,2023-07-11,Present
138,EMP001,Ali Ahmed,2023-07-12,Present
139,EMP001,Ali Ahmed,2023-07-13,Present
140,EMP001,Ali Ahmed,2023-07-14,Present
141,EMP001,Ali Ahmed,2023-07-17,Present
142,EMP001,Ali Ahmed,2023-07-18,Present
143,EMP001,Ali Ahmed,2023-07-19,Present
144,EMP001,Ali Ahmed,2023-07-20,Late
145,EMP001,Ali Ahmed,2023-07-21,Present
146,EMP001,Ali Ahmed,2023-07-24,Present
147,EMP001,Ali Ahmed,2023-07-25,Present
148,EMP001,Ali Ahmed,2023-07-26,Present
149,EMP001,Ali Ahmed,2023-07-27,Present
150,EMP001,Ali Ahmed,2023-07-28,Present
151,EMP001,Ali Ahmed,2023-07-31,Leave
152,EMP001,Ali Ahmed,2023-08-01,Present
153,EMP001,Ali Ahmed,2023-08-02,Present
154,EMP001,Ali Ahmed,2023-08-03,Present
155,EMP001,Ali Ahmed,2023-08-04,Present
156,EMP001,Ali Ahmed,2023-08-07,Present
157,EMP001,Ali Ahmed,2023-08-08,Present
158,EMP001,Ali Ahmed,2023-08-09,Present
159,EMP001,Ali Ahmed,2023-08-10,Present
160,EMP001,Ali Ahmed,2023-08-11,Present
161,EMP001,Ali Ahmed,2023-08-14,Present
162,EMP001,Ali Ahmed,2023-08-15,Present
163,EMP001,Ali Ahmed,2023-08-16,Present
164,EMP001,Ali Ahmed,2023-08-17,Late
165,EMP001,Ali Ahmed,2023-08-18,Late
166,EMP001,Ali Ahmed,2023-08-21,Present
167,EMP001,Ali Ahmed,2023-08-22,Present
168,EMP001,Ali Ahmed,2023-08-23,Present
169,EMP001,Ali Ahmed,2023-08-24,Present
170,EMP001,Ali Ahmed,2023-08-25,Present
171,EMP001,Ali Ahmed,2023-08-28,Absent
172,EMP001,Ali Ahmed,2023-08-29,Present
173,EMP001,Ali Ahmed,2023-08-30,Present
174,EMP001,Ali Ahmed,2023-08-31,Present
175,EMP001,Ali Ahmed,2023-09-01,Present
176,EMP001,Ali Ahmed,2023-09-04,Present
177,EMP001,Ali Ahmed,2023-09-05,Present
178,EMP001,Ali Ahmed,2023-09-06,Present
179,EMP001,Ali Ahmed,2023-09-07,Present
180,EMP001,Ali Ahmed,2023-09-08,Present
181,EMP001,Ali Ahmed,2023-09-11,Present
182,EMP001,Ali Ahmed,2023-09-12,Present
183,EMP001,Ali Ahmed,2023-09-13,Leave
184,EMP001,Ali Ahmed,2023-09-14,Present
185,EMP001,Ali Ahmed,2023-09-15,Present
186,EMP001,Ali Ahmed,2023-09-18,Present
187,EMP001,Ali Ahmed,2023-09-19,Late
188,EMP001,Ali Ahmed,2023-09-20,Present
189,EMP001,Ali Ahmed,2023-09-21,Present
190,EMP001,Ali Ahmed,2023-09-22,Present
191,EMP001,Ali Ahmed,2023-09-25,Present
192,EMP001,Ali Ahmed,2023-09-26,Present
193,EMP001,Ali Ahmed,2023-09-27,Present
194,EMP001,Ali Ahmed,2023-09-28,Absent
195,EMP001,Ali Ahmed,2023-09-29,Present
196,EMP001,Ali Ahmed,2023-10-02,Late
197,EMP001,Ali Ahmed,2023-10-03,Present
198,EMP001,Ali Ahmed,2023-10-04,Present
199,EMP001,Ali Ahmed,2023-10-05,Leave
200,EMP001,Ali Ahmed,2023-10-06,Present
201,EMP001,Ali Ahmed,2023-10-09,Absent
202,EMP001,Ali Ahmed,2023-10-10,Absent
203,EMP001,Ali Ahmed,2023-10-11,Present
204,EMP001,Ali Ahmed,2023-10-12,Present
205,EMP001,Ali Ahmed,2023-10-13,Present
206,EMP001,Ali Ahmed,2023-10-16,Present
207,EMP001,Ali Ahmed,2023-10-17,Present
208,EMP001,Ali Ahmed,2023-10-18,Present
209,EMP001,Ali Ahmed,2023-10-19,Present
210,EMP001,Ali Ahmed,2023-10-20,Leave
211,EMP001,Ali Ahmed,2023-10-23,Present
212,EMP001,Ali Ahmed,2023-10-24,Present
213,EMP001,Ali Ahmed,2023-10-25,Present
214,EMP001,Ali Ahmed,2023-10-26,Present
215,EMP001,Ali Ahmed,2023-10-27,Absent
216,EMP001,Ali Ahmed,2023-10-30,Leave
217,EMP001,Ali Ahmed,2023-10-31,Present
218,EMP001,Ali Ahmed,2023-11-01,Present
219,EMP001,Ali Ahmed,2023-11-02,Present
220,EMP001,Ali Ahmed,2023-11-03,Present
221,EMP001,Ali Ahmed,2023-11-06,Absent
222,EMP001,Ali Ahmed,2023-11-07,Present
223,EMP001,Ali Ahmed,2023-11-08,Present
224,EMP001,Ali Ahmed,2023-11-09,Present
225,EMP001,Ali Ahmed,2023-11-10,Present
226,EMP001,Ali Ahmed,2023-11-13,Present
227,EMP001,Ali Ahmed,2023-11-14,Present
228,EMP001,Ali Ahmed,2023-11-15,Late
229,EMP001,Ali Ahmed,2023-11-16,Present
230,EMP001,Ali Ahmed,2023-11-17,Absent
231,EMP001,Ali Ahmed,2023-11-20,Present
232,EMP001,Ali Ahmed,2023-11-21,Present
233,EMP001,Ali Ahmed,2023-11-22,Present
234,EMP001,Ali Ahmed,2023-11-23,Present
235,EMP001,Ali Ahmed,2023-11-24,Present
236,EMP001,Ali Ahmed,2023-11-27,Present
237,EMP001,Ali Ahmed,2023-11-28,Late
238,EMP001,Ali Ahmed,2023-11-29,Present
239,EMP001,Ali Ahmed,2023-11-30,Present
240,EMP001,Ali Ahmed,2023-12-01,Present
241,EMP001,Ali Ahmed,2023-12-04,Present
242,EMP001,Ali Ahmed,2023-12-05,Present
243,EMP001,Ali Ahmed,2023-12-06,Present
244,EMP001,Ali Ahmed,2023-12-07,Absent
245,EMP001,Ali Ahmed,2023-12-08,Present
246,EMP001,Ali Ahmed,2023-12-11,Present
247,EMP001,Ali Ahmed,2023-12-12,Present
248,EMP001,Ali Ahmed,2023-12-13,Present
249,EMP001,Ali Ahmed,2023-12-14,Present
250,EMP001,Ali Ahmed,2023-12-15,Present
251,EMP001,Ali Ahmed,2023-12-18,Present
252,EMP001,Ali Ahmed,2023-12-19,Present
253,EMP001,Ali Ahmed,2023-12-20,Present
254,EMP001,Ali Ahmed,2023-12-21,Present
255,EMP001,Ali Ahmed,2023-12-22,Leave
256,EMP001,Ali Ahmed,2023-12-25,Leave
257,EMP001,Ali Ahmed,2023-12-26,Present
258,EMP001,Ali Ahmed,2023-12-27,Present
259,EMP001,Ali Ahmed,2023-12-28,Present
260,EMP001,Ali Ahmed,2023-12-29,Absent
261,EMP001,Ali Ahmed,2024-01-01,Late
262,EMP001,Ali Ahmed,2024-01-02,Late
263,EMP001,Ali Ahmed,2024-01-03,Present
264,EMP001,Ali Ahmed,2024-01-04,Present
265,EMP001,Ali Ahmed,2024-01-05,Present
266,EMP001,Ali Ahmed,2024-01-08,Present
267,EMP001,Ali Ahmed,2024-01-09,Present
268,EMP001,Ali Ahmed,2024-01-10,Leave
269,EMP001,Ali Ahmed,2024-01-11,Present
270,EMP001,Ali Ahmed,2024-01-12,Present
271,EMP001,Ali Ahmed,2024-01-15,Present
272,EMP001,Ali Ahmed,2024-01-16,Present
273,EMP001,Ali Ahmed,2024-01-17,Present
274,EMP001,Ali Ahmed,2024-01-18,Absent
275,EMP001,Ali Ahmed,2024-01-19,Present
276,EMP001,Ali Ahmed,2024-01-22,Present
277,EMP001,Ali Ahmed,2024-01-23,Present
278,EMP001,Ali Ahmed,2024-01-24,Present
279,EMP001,Ali Ahmed,2024-01-25,Present
280,EMP001,Ali Ahmed,2024-01-26,Present
281,EMP001,Ali Ahmed,2024-01-29,Present
282,EMP001,Ali Ahmed,2024-01-30,Present
283,EMP001,Ali Ahmed,2024-01-31,Present
284,EMP001,Ali Ahmed,2024-02-01,Present
285,EMP001,Ali Ahmed,2024-02-02,Present
286,EMP001,Ali Ahmed,2024-02-05,Late
287,EMP001,Ali Ahmed,2024-02-06,Present
288,EMP001,Ali Ahmed,2024-02-07,Present
289,EMP001,Ali Ahmed,2024-02-08,Present
290,EMP001,Ali Ahmed,2024-02-09,Present
291,EMP001,Ali Ahmed,2024-02-12,Present
292,EMP001,Ali Ahmed,2024-02-13,Present
293,EMP001,Ali Ahmed,2024-02-14,Present
294,EMP001,Ali Ahmed,2024-02-15,Present
295,EMP001,Ali Ahmed,2024-02-16,Present
296,EMP001,Ali Ahmed,2024-02-19,Present
297,EMP001,Ali Ahmed,2024-02-20,Present
298,EMP001,Ali Ahmed,2024-02-21,Present
299,EMP001,Ali Ahmed,2024-02-22,Present
300,EMP001,Ali Ahmed,2024-02-23,Late
301,EMP001,Ali Ahmed,2024-02-26,Late
302,EMP001,Ali Ahmed,2024-02-27,Present
303,EMP001,Ali Ahmed,2024-02-28,Present
304,EMP001,Ali Ahmed,2024-02-29,Present
305,EMP001,Ali Ahmed,2024-03-01,Present
306,EMP001,Ali Ahmed,2024-03-04,Present
307,EMP001,Ali Ahmed,2024-03-05,Present
308,EMP001,Ali Ahmed,2024-03-06,Late
309,EMP001,Ali Ahmed,2024-03-07,Present
310,EMP001,Ali Ahmed,2024-03-08,Late
311,EMP001,Ali Ahmed,2024-03-11,Late
312,EMP001,Ali Ahmed,2024-03-12,Present
313,EMP001,Ali Ahmed,2024-03-13,Present
314,EMP001,Ali Ahmed,2024-03-14,Present
315,EMP001,Ali Ahmed,2024-03-15,Present
316,EMP001,Ali Ahmed,2024-03-18,Late
317,EMP001,Ali Ahmed,2024-03-19,Present
318,EMP001,Ali Ahmed,2024-03-20,Present
319,EMP001,Ali Ahmed,2024-03-21,Present
320,EMP001,Ali Ahmed,2024-03-22,Absent
321,EMP001,Ali Ahmed,2024-03-25,Late
322,EMP001,Ali Ahmed,2024-03-26,Leave
323,EMP001,Ali Ahmed,2024-03-27,Present
324,EMP001,Ali Ahmed,2024-03-28,Late
325,EMP001,Ali Ahmed,2024-03-29,Present
326,EMP001,Ali Ahmed,2024-04-01,Present
327,EMP001,Ali Ahmed,2024-04-02,Present
328,EMP001,Ali Ahmed,2024-04-03,Absent
329,EMP001,Ali Ahmed,2024-04-04,Present
330,EMP001,Ali Ahmed,2024-04-05,Late
331,EMP001,Ali Ahmed,2024-04-08,Present
332,EMP001,Ali Ahmed,2024-04-09,Present
333,EMP001,Ali Ahmed,2024-04-10,Present
334,EMP001,Ali Ahmed,2024-04-11,Present
335,EMP001,Ali Ahmed,2024-04-12,Late
336,EMP001,Ali Ahmed,2024-04-15,Late
337,EMP001,Ali Ahmed,2024-04-16,Present
338,EMP001,Ali Ahmed,2024-04-17,Present
339,EMP001,Ali Ahmed,2024-04-18,Present
340,EMP001,Ali Ahmed,2024-04-19,Present
341,EMP001,Ali Ahmed,2024-04-22,Present
342,EMP001,Ali Ahmed,2024-04-23,Present
343,EMP001,Ali Ahmed,2024-04-24,Present
344,EMP001,Ali Ahmed,2024-04-25,Present
345,EMP001,Ali Ahmed,2024-04-26,Present
346,EMP001,Ali Ahmed,2024-04-29,Late
347,EMP001,Ali Ahmed,2024-04-30,Absent
348,EMP001,Ali Ahmed,2024-05-01,Present
349,EMP001,Ali Ahmed,2024-05-02,Present
350,EMP001,Ali Ahmed,2024-05-03,Present
351,EMP001,Ali Ahmed,2024-05-06,Leave
352,EMP001,Ali Ahmed,2024-05-07,Present
353,EMP001,Ali Ahmed,2024-05-08,Absent
354,EMP001,Ali Ahmed,2024-05-09,Present
355,EMP001,Ali Ahmed,2024-05-10,Leave
356,EMP001,Ali Ahmed,2024-05-13,Present
357,EMP001,Ali Ahmed,2024-05-14,Absent
358,EMP001,Ali Ahmed,2024-05-15,Present
359,EMP001,Ali Ahmed,2024-05-16,Present
360,EMP001,Ali Ahmed,2024-05-17,Present
361,EMP001,Ali Ahmed,2024-05-20,Present
362,EMP001,Ali Ahmed,2024-05-21,Present
363,EMP001,Ali Ahmed,2024-05-22,Present
364,EMP001,Ali Ahmed,2024-05-23,Present
365,EMP001,Ali Ahmed,2024-05-24,Present
366,EMP001,Ali Ahmed,2024-05-27,Present
367,EMP001,Ali Ahmed,2024-05-28,Present
368,EMP001,Ali Ahmed,2024-05-29,Present
369,EMP001,Ali Ahmed,2024-05-30,Present
370,EMP001,Ali Ahmed,2024-05-31,Absent
371,EMP001,Ali Ahmed,2024-06-03,Present
372,EMP001,Ali Ahmed,2024-06-04,Present
373,EMP001,Ali Ahmed,2024-06-05,Present
374,EMP001,Ali Ahmed,2024-06-06,Present
375,EMP001,Ali Ahmed,2024-06-07,Present
376,EMP001,Ali Ahmed,2024-06-10,Present
377,EMP001,Ali Ahmed,2024-06-11,Present
378,EMP001,Ali Ahmed,2024-06-12,Present
379,EMP001,Ali Ahmed,2024-06-13,Present
380,EMP001,Ali Ahmed,2024-06-14,Present
381,EMP001,Ali Ahmed,2024-06-17,Present
382,EMP001,Ali Ahmed,2024-06-18,Present
383,EMP001,Ali Ahmed,2024-06-19,Present
384,EMP001,Ali Ahmed,2024-06-20,Present
385,EMP001,Ali Ahmed,2024-06-21,Present
386,EMP001,Ali Ahmed,2024-06-24,Present
387,EMP001,Ali Ahmed,2024-06-25,Present
388,EMP001,Ali Ahmed,2024-06-26,Present
389,EMP001,Ali Ahmed,2024-06-27,Absent
390,EMP001,Ali Ahmed,2024-06-28,Present
391,EMP001,Ali Ahmed,2024-07-01,Late
392,EMP001,Ali Ahmed,2024-07-02,Present
393,EMP001,Ali Ahmed,2024-07-03,Present
394,EMP001,Ali Ahmed,2024-07-04,Present
395,EMP001,Ali Ahmed,2024-07-05,Present
396,EMP001,Ali Ahmed,2024-07-08,Present
397,EMP001,Ali Ahmed,2024-07-09,Present
398,EMP001,Ali Ahmed,2024-07-10,Present
399,EMP001,Ali Ahmed,2024-07-11,Present
400,EMP001,Ali Ahmed,2024-07-12,Present
401,EMP001,Ali Ahmed,2024-07-15,Present
402,EMP001,Ali Ahmed,2024-07-16,Present
403,EMP001,Ali Ahmed,2024-07-17,Present
404,EMP001,Ali Ahmed,2024-07-18,Late
405,EMP001,Ali Ahmed,2024-07-19,Present
406,EMP001,Ali Ahmed,2024-07-22,Present
407,EMP001,Ali Ahmed,2024-07-23,Present
408,EMP001,Ali Ahmed,2024-07-24,Present
409,EMP001,Ali Ahmed,2024-07-25,Present
410,EMP001,Ali Ahmed,2024-07-26,Present
411,EMP001,Ali Ahmed,2024-07-29,Present
412,EMP001,Ali Ahmed,2024-07-30,Present
413,EMP001,Ali Ahmed,2024-07-31,Present
414,EMP001,Ali Ahmed,2024-08-01,Present
415,EMP001,Ali Ahmed,2024-08-02,Present
416,EMP001,Ali Ahmed,2024-08-05,Present
417,EMP001,Ali Ahmed,2024-08-06,Present
418,EMP001,Ali Ahmed,2024-08-07,Present
419,EMP001,Ali Ahmed,2024-08-08,Present
420,EMP001,Ali Ahmed,2024-08-09,Present
421,EMP001,Ali Ahmed,2024-08-12,Present
422,EMP001,Ali Ahmed,2024-08-13,Present
423,EMP001,Ali Ahmed,2024-08-14,Present
424,EMP001,Ali Ahmed,2024-08-15,Present
425,EMP001,Ali Ahmed,2024-08-16,Present
426,EMP001,Ali Ahmed,2024-08-19,Present
427,EMP001,Ali Ahmed,2024-08-20,Present
428,EMP001,Ali Ahmed,2024-08-21,Present
429,EMP001,Ali Ahmed,2024-08-22,Present
430,EMP001,Ali Ahmed,2024-08-23,Present
431,EMP001,Ali Ahmed,2024-08-26,Present
432,EMP001,Ali Ahmed,2024-08-27,Present
433,EMP001,Ali Ahmed,2024-08-28,Present
434,EMP001,Ali Ahmed,2024-08-29,Absent
435,EMP001,Ali Ahmed,2024-08-30,Present
436,EMP001,Ali Ahmed,2024-09-02,Present
437,EMP001,Ali Ahmed,2024-09-03,Present
438,EMP001,Ali Ahmed,2024-09-04,Present
439,EMP001,Ali Ahmed,2024-09-05,Present
440,EMP001,Ali Ahmed,2024-09-06,Present
441,EMP001,Ali Ahmed,2024-09-09,Present
442,EMP001,Ali Ahmed,2024-09-10,Leave
443,EMP001,Ali Ahmed,2024-09-11,Present
444,EMP001,Ali Ahmed,2024-09-12,Absent
445,EMP001,Ali Ahmed,2024-09-13,Late
446,EMP001,Ali Ahmed,2024-09-16,Present
447,EMP001,Ali Ahmed,2024-09-17,Present
448,EMP001,Ali Ahmed,2024-09-18,Present
449,EMP001,Ali Ahmed,2024-09-19,Present
450,EMP001,Ali Ahmed,2024-09-20,Present
451,EMP001,Ali Ahmed,2024-09-23,Late
452,EMP001,Ali Ahmed,2024-09-24,Present
453,EMP001,Ali Ahmed,2024-09-25,Present
454,EMP001,Ali Ahmed,2024-09-26,Present
455,EMP001,Ali Ahmed,2024-09-27,Present
456,EMP001,Ali Ahmed,2024-09-30,Present
457,EMP001,Ali Ahmed,2024-10-01,Present
458,EMP001,Ali Ahmed,2024-10-02,Present
459,EMP001,Ali Ahmed,2024-10-03,Present
460,EMP001,Ali Ahmed,2024-10-04,Present
461,EMP001,Ali Ahmed,2024-10-07,Present
462,EMP001,Ali Ahmed,2024-10-08,Present
463,EMP001,Ali Ahmed,2024-10-09,Present
464,EMP001,Ali Ahmed,2024-10-10,Present
465,EMP001,Ali Ahmed,2024-10-11,Present
466,EMP001,Ali Ahmed,2024-10-14,Present
467,EMP001,Ali Ahmed,2024-10-15,Present
468,EMP001,Ali Ahmed,2024-10-16,Present
469,EMP001,Ali Ahmed,2024-10-17,Present
470,EMP001,Ali Ahmed,2024-10-18,Present
471,EMP001,Ali Ahmed,2024-10-21,Present
472,EMP001,Ali Ahmed,2024-10-22,Present
473,EMP001,Ali Ahmed,2024-10-23,Present
474,EMP001,Ali Ahmed,2024-10-24,Present
475,EMP001,Ali Ahmed,2024-10-25,Present
476,EMP001,Ali Ahmed,2024-10-28,Late
477,EMP001,Ali Ahmed,2024-10-29,Present
478,EMP001,Ali Ahmed,2024-10-30,Present
479,EMP001,Ali Ahmed,2024-10-31,Late
480,EMP001,Ali Ahmed,2024-11-01,Present
481,EMP001,Ali Ahmed,2024-11-04,Present
482,EMP001,Ali Ahmed,2024-11-05,Present
483,EMP001,Ali Ahmed,2024-11-06,Present
484,EMP001,Ali Ahmed,2024-11-07,Present
485,EMP001,Ali Ahmed,2024-11-08,Late
486,EMP001,Ali Ahmed,2024-11-11,Absent
487,EMP001,Ali Ahmed,2024-11-12,Present
488,EMP001,Ali Ahmed,2024-11-13,Present
489,EMP001,Ali Ahmed,2024-11-14,Present
490,EMP001,Ali Ahmed,2024-11-15,Present
491,EMP001,Ali Ahmed,2024-11-18,Present
492,EMP001,Ali Ahmed,2024-11-19,Present
493,EMP001,Ali Ahmed,2024-11-20,Present
494,EMP001,Ali Ahmed,2024-11-21,Present
495,EMP001,Ali Ahmed,2024-11-22,Present
496,EMP001,Ali Ahmed,2024-11-25,Present
497,EMP001,Ali Ahmed,2024-11-26,Present
498,EMP001,Ali Ahmed,2024-11-27,Present
499,EMP001,Ali Ahmed,2024-11-28,Present
500,EMP001,Ali Ahmed,2024-11-29,Present
501,EMP001,Ali Ahmed,2024-12-02,Present
502,EMP001,Ali Ahmed,2024-12-03,Present
503,EMP001,Ali Ahmed,2024-12-04,Present
504,EMP001,Ali Ahmed,2024-12-05,Present
505,EMP001,Ali Ahmed,2024-12-06,Present
506,EMP001,Ali Ahmed,2024-12-09,Present
507,EMP001,Ali Ahmed,2024-12-10,Present
508,EMP001,Ali Ahmed,2024-12-11,Present
509,EMP001,Ali Ahmed,2024-12-12,Present
510,EMP001,Ali Ahmed,2024-12-13,Present
511,EMP001,Ali Ahmed,2024-12-16,Present
512,EMP001,Ali Ahmed,2024-12-17,Present
513,EMP001,Ali Ahmed,2024-12-18,Present
514,EMP001,Ali Ahmed,2024-12-19,Present
515,EMP001,Ali Ahmed,2024-12-20,Present
516,EMP001,Ali Ahmed,2024-12-23,Present
517,EMP001,Ali Ahmed,2024-12-24,Present
518,EMP001,Ali Ahmed,2024-12-25,Present
519,EMP001,Ali Ahmed,2024-12-26,Present
520,EMP001,Ali Ahmed,2024-12-27,Present
521,EMP001,Ali Ahmed,2024-12-30,Leave
522,EMP001,Ali Ahmed,2024-12-31,Present
523,EMP001,Ali Ahmed,2025-01-01,Present
524,EMP001,Ali Ahmed,2025-01-02,Present
525,EMP001,Ali Ahmed,2025-01-03,Present
526,EMP001,Ali Ahmed,2025-01-06,Present
527,EMP001,Ali Ahmed,2025-01-07,Absent
528,EMP001,Ali Ahmed,2025-01-08,Present
529,EMP001,Ali Ahmed,2025-01-09,Present
530,EMP001,Ali Ahmed,2025-01-10,Present
531,EMP001,Ali Ahmed,2025-01-13,Present
532,EMP001,Ali Ahmed,2025-01-14,Present
533,EMP001,Ali Ahmed,2025-01-15,Present
534,EMP001,Ali Ahmed,2025-01-16,Present
535,EMP001,Ali Ahmed,2025-01-17,Present
